a: 13059661448417270405, b: 7219756443225887990, c: 7038088321150332005
a: 5307173839565002775, b: 5504776090044284391, c: 4916235400665117477
a: 7417233302934557425, b: 10044709722369304968, c: 9151088848822519680
a: 15561335495685715282, b: 12053497590791804686, c: 15761761647814043781
a: 6723721355185328100, b: 4984091661961872457, c: 6458786145720943319
a: 16923225190138449011, b: 13902817336865220214, c: 3240012397928873750
a: 12763191723132883986, b: 2926385410609592193, c: 2103406720913104713
a: 3341548963649885086, b: 2828055940772222357, c: 9882434046297332454
a: 13360724909896212502, b: 15924145917908139902, c: 10118100551969797910
a: 10449902440420464696, b: 2338225211493836, c: 15357947163287150187
a: 6100421094966566925, b: 6735670149722209032, c: 12476864178146090517
a: 109468117437398800, b: 11942883145279999695, c: 6048344885030323082
a: 3041023650195891297, b: 17505056184506829392, c: 16925381296171600588
a: 17376332027046793194, b: 8008797775493516361, c: 2266692383842870026
a: 15184840886100214411, b: 16381456596903486263, c: 647147889946268148
a: 14578894452666366138, b: 17253170095865306764, c: 136066384730877686
a: 3913037159359047255, b: 4609849465974150935, c: 16053851048497953310
a: 5732727369986477140, b: 14607342427844500735, c: 9733966380296885167
a: 7940489275212133155, b: 8448399520026951230, c: 4810244167368312328
a: 15652921674004994636, b: 18008921932883496978, c: 6537038870678783440
a: 17628495470382133793, b: 12961131676039982381, c: 15015813335867861054
a: 7626656211901847174, b: 16378551166511440806, c: 3005566368679865635
a: 11396987330040239793, b: 15350424044361181166, c: 362931556784850121
a: 1569356308257873878, b: 10234787598979363699, c: 3803499112939180193
a: 1140955974851043897, b: 9932640547372003919, c: 4387058125839495240
a: 7548546539493889951, b: 5033698010800250683, c: 9765556007547724832
a: 6934374446974274799, b: 18252554102050879513, c: 15288175036882076273
a: 5467015898573624498, b: 12439552219116135698, c: 4441559149751238860
a: 3832034384944863476, b: 16906090241201700937, c: 8441169218934050925
a: 9279847327538286887, b: 5930137573536544635, c: 14896713086475363878
a: 12820814806969418588, b: 11117210358810117273, c: 4359762987696448169
a: 10524833735503461618, b: 2785533807484515353, c: 6533346025913962698
a: 18292871968446721457, b: 6639949087941492789, c: 2983465274223674055
a: 7423935272864355878, b: 1641399921134663363, c: 5262610411372869557
a: 17571918417899465167, b: 13038762562641519286, c: 12041892804090422110
a: 6839643842618814273, b: 15343195854748099972, c: 5555630748711198800
a: 3874415597895680690, b: 3232014764598013342, c: 12954048222859233018
a: 17010911432788249076, b: 2718754443810635182, c: 5428963191526905939
a: 7713405161344378174, b: 11730609324861222156, c: 9891378770180671785
a: 14059864297822542114, b: 3382961282895205402, c: 2807830678197327894
a: 1174105654199693470, b: 12905154761339796126, c: 10085614389974858932
a: 5824084444054072300, b: 3812494293038652778, c: 15848654749079244363
a: 15605169474002050140, b: 6346369355149928893, c: 14982071734900913332
a: 9607493383138904383, b: 11339871048996516705, c: 7812942675505126282
a: 4839765644164059126, b: 9198022910575004679, c: 17512891238037771811
a: 1301182843177057389, b: 13868450817810931294, c: 6366057097538855597
