a: 3788647765213902797, b: 13843068257266143367, c: 5958064324903658027
a: 13178814351899307896, b: 15477410751251289347, c: 1434858892032563395
a: 14679031464159650497, b: 581547612922132606, c: 5210995972924307712
a: 1509118174838920151, b: 18068967186095933333, c: 15274443878878705014
a: 18331816604687618832, b: 13377860481189322882, c: 16756602886574360142
a: 1755293872421280650, b: 15209382561002727884, c: 6749340686699834677
a: 11048873926135473106, b: 3001402132150321256, c: 14113749488739136789
a: 10477422865770385998, b: 17782938172056624417, c: 9271142938485953527
a: 18416215249223287952, b: 13921210846157225437, c: 848640675443966545
a: 15803945898255742367, b: 2928227782689686320, c: 10379395107469587621
a: 18108714048386176992, b: 2585486626770761503, c: 1566266242705042933
a: 15563045612938804066, b: 12185217535259281295, c: 1266316481275118441
a: 4000927596755712245, b: 15652637617994787931, c: 15905425408571947377
a: 1651081343891877392, b: 5754661605702975947, c: 18313663497433021952
a: 14069547448758447161, b: 7195202270969243640, c: 17214838716210425236
a: 5158310458716085082, b: 12517430333677845162, c: 5619453279666128333
a: 1939451156991389728, b: 16150608908899138229, c: 1949624146211956464
a: 15877301103992889441, b: 1805405539631695259, c: 5421177398988059104
a: 5153686089762166920, b: 300090666569070911, c: 2166244576742741107
a: 16770155787660980250, b: 6967141994153435856, c: 9058813372004241834
a: 3414747396624085216, b: 7190833783640525795, c: 7780469284463624885
a: 8586566491202173793, b: 14278171522530637363, c: 11181913163326988155
a: 723546872760268589, b: 4795043910829228082, c: 3150341078039585443
a: 5795084727916708202, b: 14881802877020805550, c: 2576020747771685558
a: 5717514119673290230, b: 14017917958962586587, c: 2499747149743880799
a: 9766907490588647364, b: 2233869783863464972, c: 11045470327253235969
a: 9075823302721555414, b: 15767882492282065458, c: 13472989938149226893
a: 1212145549431966948, b: 3865384234941375442, c: 2333361712259831988
a: 16334211639536535270, b: 15071207766213325249, c: 2810248070915478691
a: 13370534275547901919, b: 11249856392553166887, c: 9219303862488243720
a: 7208032070288729207, b: 13728594049107392470, c: 14639822057301638126
a: 17320739415079833784, b: 1182748645525702334, c: 7748057073787098974
a: 8865786994427240381, b: 2389889414596873529, c: 12161728860696565295
a: 3249329746200306303, b: 3269107263400119426, c: 15667727006110443355
a: 10449713683463706578, b: 5057102365910924715, c: 4828327506594217673
a: 7250328738955199585, b: 16228580744110660383, c: 8285014374614234343
a: 15439576190670464043, b: 931969870461684066, c: 12241592121607705217
a: 15228123243793296485, b: 1144985313516425173, c: 11165905941894589108
a: 18372887914301613354, b: 8815975290188830908, c: 17511821630965089015
a: 17483792176433060828, b: 10303717989277766196, c: 13228573348815435370
