a: 7522243952155429035, b: 13392222740035010590, c: 10958896871344028603
a: 6421063920919569663, b: 16010065394901991472, c: 16149034478857271918
a: 11269156765133863893, b: 13787358003087210138, c: 4401966094155120675
a: 5120251632819793871, b: 18104260844043433920, c: 5896883226450663082
a: 9636998174611101489, b: 10362306602077739898, c: 8783057346450621017
a: 16567294493358657838, b: 12165929235266658148, c: 8587348786124062889
a: 5302860767904546639, b: 10974375040134802219, c: 7147510138418932702
a: 475047363479824254, b: 13758731362496072723, c: 14627656513780038935
a: 17514944298092689642, b: 581885622007247991, c: 5604303211723994630
a: 2111988611596645603, b: 11389680515612419121, c: 1544439074329804137
a: 11971938970754438246, b: 12855685930890320243, c: 11933211159705033750
a: 11219051017001403827, b: 9001778441747985971, c: 10289784071616875479
a: 10117487451093359165, b: 11294618585131340974, c: 10555682515336253777
a: 18439045853578882886, b: 8536726652535423397, c: 17976848834034768287
a: 3479034582992083058, b: 2040222843935912555, c: 9033671990112220364
a: 16797264380459645796, b: 18029831875340271990, c: 388667592287456022
a: 533198515125492987, b: 16813854006157075426, c: 5628762691361440337
a: 8593141715683628576, b: 11397668745915476695, c: 8466316270763683353
a: 13037811734210776573, b: 8515631812865391036, c: 6987758746578903600
a: 3176998331147908802, b: 14615626355249841400, c: 3664560873411352140
a: 7832682866288567025, b: 16726697793653628682, c: 3777984493915537112
a: 16077530387665654701, b: 294381237377399154, c: 6596191628418993502
a: 1328359725117161529, b: 8529652621691225905, c: 6521165887285321287
a: 14161132541054932413, b: 14737227410797298782, c: 7622015326491584778
a: 16737360375842743622, b: 11041597834490722054, c: 11198480367021102087
a: 17170507902465057303, b: 8310227560558010218, c: 7458585274111259551
a: 17092374938924723013, b: 6756970524448857283, c: 333183673494767644
a: 6892415594213351332, b: 15959695591892120733, c: 12348495432501122165
a: 2198411929085728287, b: 5697779009645071385, c: 10519939123974528069
a: 4395368786713403026, b: 13002844460290646326, c: 15654944683360973014
a: 7468494523274795742, b: 8645515916345984884, c: 4740242590308162396
a: 6691831171350476348, b: 8714794524713995680, c: 17470431926267873376
a: 15233296644151741885, b: 7763996030645241085, c: 9360392624890993705
a: 14468320937953837158, b: 3265601545528141927, c: 9022060527932710157
a: 918470090395136356, b: 5320192941765476263, c: 8012455617840993175
a: 10190159933031613328, b: 8373654218235526297, c: 13722722671052755648
a: 6088379093757557267, b: 15246743400824625886, c: 16642645550886755296
a: 17206224370298981730, b: 503411464096903894, c: 8517974153774883274
a: 7211557894751454408, b: 3419707168366676908, c: 12042153759988383654
a: 4309511760846276734, b: 746600202524686415, c: 4786792270771216791
a: 2241802030755800492, b: 368898904245433615, c: 15644728781538765741
a: 10860984705523960459, b: 9137527524393161313, c: 13847441567798970294
a: 5277219956546163210, b: 16945569028478066345, c: 8739635615528856638
a: 13749108651075400318, b: 1962353057344789107, c: 16049771827028082826
a: 10595497987385620576, b: 1835947062317695877, c: 15605225929548848209
a: 9478600831865204049, b: 2846040121309260893, c: 14354389212844078324
a: 13403609389109631506, b: 16367827207889567283, c: 11748670322727288923
a: 15436172605565322522, b: 13384431303921298836, c: 11389648614257144020
a: 8697419274472446072, b: 8885970534444633462, c: 3850716468349263578
a: 5742100208957023612, b: 12781995510182614530, c: 5998719798550013784
a: 7326525918950237830, b: 5096217368890881572, c: 6798465087798953714
a: 1442829635422433918, b: 10761728955967528091, c: 5464337583567393749
a: 9522058351742573859, b: 10696031651979840809, c: 14210734868489708768
a: 5370319187757569610, b: 10575831031448242262, c: 10795325672842576812
a: 9021631038497300718, b: 8153886615256355790, c: 1121134839979814748
a: 11434604848010217721, b: 14749982976557822135, c: 5714383084465631257
a: 18177020427150646029, b: 6269882666370414328, c: 1198502463127329052
a: 16322386591216458873, b: 8999677429889075897, c: 2846263325243740698
a: 13405913214454318737, b: 8654973056174814296, c: 10260632423401789389
a: 16217510962160621814, b: 15179605999211021028, c: 5953470823047618041
a: 1070377052272050006, b: 9927818094509280117, c: 10510936377064486651
a: 16886322744326959674, b: 9760328920619504445, c: 8855210187299476101
a: 10766392924798241774, b: 1409376823336075738, c: 13041033715431299508
a: 11360068422255444315, b: 14735440039242365362, c: 17527903145036398438
a: 6614688992583708600, b: 12960895709020778604, c: 3100724402279264317
a: 16449121572865127562, b: 12752637529645140761, c: 5930573966109525352
a: 16036610850867597715, b: 5439850046855480053, c: 15533781833220060249
a: 3492328344191467027, b: 16111796697242197461, c: 1490947356920106030
a: 8461379693521172930, b: 12764239805852981279, c: 14918068127365961653
a: 13388818278126876461, b: 1753350281209868761, c: 4773525479989131367
a: 14762972866476327042, b: 16502548329479326419, c: 11450947894210711891
a: 1454019683820771272, b: 18143479536761200779, c: 10996688668372179540
a: 12569879244569480281, b: 9129192859175524894, c: 16966816618136693637
a: 17888367799030301664, b: 3189674254191127537, c: 6053713647804484261
a: 11767374682011026194, b: 13399058370040897681, c: 7493932741347214099
a: 16866421833203121101, b: 11696849433779295119, c: 10202154438980203765
a: 7608793236212388568, b: 4066590732437835116, c: 1556776420495216691
a: 7126221847482650937, b: 12321296653411489669, c: 4427395520808619862
a: 5327161299867800842, b: 5758519635995669135, c: 8424394874213999848
a: 7111089600011944131, b: 17224375621516530658, c: 17242146623653098582
a: 3804569600580843477, b: 5664731612476679452, c: 15573507672225483526
a: 12290457042409494487, b: 7535322746754490099, c: 11515034160604748337
a: 11304015627911515416, b: 10750262862096857130, c: 8927782208671263628
a: 3740662949153021365, b: 9804616855461338184, c: 5817528415266680000
a: 7080120038936249004, b: 7312455553211222304, c: 17898226653959610288
a: 6235752770551129521, b: 8198625595203062542, c: 17112419533092789217
a: 419401965074650155, b: 6682129635215078252, c: 11167941129894688283
a: 13816425383164574763, b: 14714798322193618786, c: 17577323434652320248
a: 14564270042282231378, b: 3990022842754293555, c: 3511024397947832652
a: 15816739732829920737, b: 16499263523648961380, c: 9539042810821826464
a: 10355023135629662328, b: 13748106705458911686, c: 1106499894575923259
a: 14770730182671489016, b: 945038809100470609, c: 2393588910768681440
a: 8807583462627346698, b: 7194966435607156628, c: 5012334814058111566
a: 609865138843473855, b: 3888335643771380890, c: 12922113447125465096
a: 16715265680808640261, b: 11378838312407210147, c: 5220391095106174052
a: 16444561727992153356, b: 13647144653267678661, c: 10938867063843974524
a: 13416655306160324696, b: 14549214178293899986, c: 4262638510315999266
a: 7373586123401160607, b: 9755353654595719664, c: 4393401341424969937
a: 13126995254186880452, b: 13214738726050974102, c: 2176334954948276026
a: 12665366839500992571, b: 1567101319106120774, c: 9088367933462404307
a: 12115199099454364016, b: 14423785434791773027, c: 8788047255467338969
a: 9611060099626643278, b: 8264646039636943587, c: 8909225016751491101
a: 7250231742257222380, b: 10428644604345209758, c: 3354821837086295749
a: 3665692179228224391, b: 12833912393863273578, c: 12853148371520826620
a: 17112449136421184972, b: 17377563259173774554, c: 2750730404010171044
a: 8406753982579107990, b: 3490153374447199048, c: 4310183397502804564
a: 1718514506882815361, b: 7465538745752475257, c: 9519730320736846349
a: 506796197109020452, b: 12252031422746744969, c: 10195415311913221181
a: 9778154081132522727, b: 2909920914237771430, c: 12414311448004001551
a: 7221630606470503641, b: 12902860660777425186, c: 7113341832638539221
a: 8599273527406094922, b: 17147094638639565197, c: 2547440638928936063
a: 11019808820140725710, b: 13286315575823668787, c: 3051769897731543235
a: 10353822483228147420, b: 8446891211510151566, c: 15924767452537174621
a: 11087217957601557547, b: 10281449836843952432, c: 10849170026207719132
a: 3417102541287564180, b: 3954557872063472670, c: 10140783903448187713
a: 4824029290913337415, b: 8269602469622763427, c: 15885855212245311035
a: 11994609691537228099, b: 15553941535074414641, c: 1818759299598300593
a: 2564628187636506236, b: 6978022925780377970, c: 421722597731926909
a: 16605202527835842814, b: 6097221806190810236, c: 11100853741042565413
a: 13156700809006765651, b: 16949995880214182720, c: 11423072566048276904
a: 15286825008468433727, b: 13392027911214754186, c: 218448708669100934
a: 778773367408926476, b: 17705946107772346788, c: 13722349482943323486
a: 4873971892794381591, b: 3978284076161690684, c: 5835175862485445652
a: 741821851857189731, b: 970145910507424484, c: 778765665092316
a: 13670263018308624240, b: 9401619528134038871, c: 11952859637620873072
a: 7141006568268046080, b: 1882963023475782828, c: 11241791700193779863
a: 2196995225530353239, b: 15995897120380293796, c: 5987141822197442562
a: 14816907924759318160, b: 636347768923476858, c: 7550536742602869823
a: 9912346188186780795, b: 234243582208118909, c: 8431211589760392141
a: 3131024764073663316, b: 5716948104071703317, c: 11345328634589066618
a: 14616129160101269707, b: 4020522413445755490, c: 17200755681646455840
a: 8646784497741761054, b: 11204361456708776063, c: 11014896141414548471
a: 14497331798451716354, b: 11433244525891678300, c: 1703709484198211222
a: 16560257955652862059, b: 3961546323390991598, c: 7398459544898888405
a: 1272681930040615604, b: 15684312287873276043, c: 3914886556566177580
a: 16028663957359011942, b: 5239914851567941987, c: 5619605912896407947
a: 1780681209454915211, b: 6592096099170711691, c: 3357090000555224785
a: 4170265415005478962, b: 6086781653712404026, c: 16212264548351520649
a: 12026881330508524530, b: 839192415441976717, c: 3013927579656568731
a: 4474979182450219546, b: 13319513384491922612, c: 9203576993530153046
a: 10788221295697597050, b: 14568650055431176624, c: 10461029145744031690
a: 8551555803666661917, b: 18231557515045964560, c: 2423013367567734230
a: 2670251038183307413, b: 2604451519416702343, c: 5728809638778623692
a: 15746460229606769041, b: 14766724613461840674, c: 10397112823793232504
a: 15054019848279750839, b: 7649646120952744578, c: 16296203974292089400
a: 18423025507410035606, b: 18306133195506871973, c: 14970936017587083795
a: 8693745380339391085, b: 9251278071624451942, c: 12108545336313065883
a: 3242293777626220328, b: 12111889413891103269, c: 8784359490203851097
a: 2000878594990066351, b: 4066372868451978459, c: 15480565509762297062
a: 17448644818364156146, b: 3108352275665589039, c: 1292803506468279187
a: 5348490902132219129, b: 14277037470745308567, c: 5682378310042191128
a: 12394162677790079727, b: 5702530349343083389, c: 15163261937459735991
a: 12545286108368407357, b: 3623085210469157836, c: 7546224079483142775
a: 14118812617726523324, b: 6021774034515151006, c: 18397431871154180136
a: 2806091755139928467, b: 13588116127449802627, c: 8391307741892256182
