a: 1242707038962612195, b: 10251175453534612677, c: 14581333463967322586
a: 17079124804259797893, b: 12764822645336909250, c: 13901282510579754655
a: 17456731192620418414, b: 10527705968071562894, c: 2183589376183802710
a: 15249356767854316187, b: 2374685958191314250, c: 9766171011383731054
a: 7727567130942108893, b: 10357538163477103961, c: 9642419424051820776
a: 11586706240877490798, b: 590701161806913230, c: 3763855214852161019
a: 14970490424244707238, b: 14700390876070802483, c: 7615288415863404724
a: 4271844445109923104, b: 3397605992391953525, c: 13241353124861610259
a: 10776229561184744804, b: 10335549323390363187, c: 16456406090707855834
a: 422989567062886913, b: 16264626822707307642, c: 11653361536963925997
a: 2287117437819638751, b: 16562680767474467804, c: 9846027148315153584
a: 10594115792282262005, b: 11267358527906942718, c: 13001966656155898528
a: 16509507020840223216, b: 12040806035398236391, c: 6049083716601039083
a: 3591116683962593336, b: 16449225240233257798, c: 7053744632633619676
a: 6089753297941995152, b: 10510986591592821655, c: 2560325069379752538
a: 4558317688327186239, b: 11238512387592284668, c: 3902118916594704270
a: 2617608893031417052, b: 16339557554188842354, c: 10751797036317209292
a: 9030671662714753319, b: 11036746305193488824, c: 16526836634998405940
a: 14657733703066841702, b: 4225987354905570778, c: 12950216755561772040
a: 9283708350697515002, b: 9029232402507745457, c: 16755410485521700916
a: 11963841726242521409, b: 6597584918024823279, c: 9795811576960582052
a: 4569315286772917390, b: 2530106299906044364, c: 15971221390642981499
a: 7122337177252805217, b: 14065458554114229327, c: 1786067875939062647
a: 910289601223782364, b: 9413608832198579662, c: 11722285303532209202
a: 11662433462189503146, b: 11971472984066462974, c: 10900907694108053437
a: 8130681793779617712, b: 12351805874253278302, c: 8566503133478280990
a: 5395988897364546899, b: 8235779683917415862, c: 17551480749946331954
a: 14145439821080540594, b: 18327620137219707200, c: 10350398759924505122
a: 6415183323322984218, b: 12134004019954427350, c: 17875297865724493741
a: 2387451863141012463, b: 17055568874757404604, c: 2558029256226922978
a: 16412624380789084891, b: 9536204124233631203, c: 8322289360626455301
a: 3527844405378053716, b: 262009842206567531, c: 14845750300762059714
a: 13490305046692770085, b: 7782374677084056875, c: 9422183309091067243
a: 13210939597227745340, b: 10235411769172953630, c: 14729984793058055150
a: 13387458031634003548, b: 3365350648043849153, c: 15566109504453336751
a: 12344162798963312544, b: 6672286644601722858, c: 4442252118623430638
a: 3417491031862860140, b: 8549629874748436625, c: 3746815172041131711
a: 4174022115786085278, b: 3236920475944378850, c: 2107444325241076747
a: 2749564389987138822, b: 11657444916868589927, c: 4008735398513206810
a: 1799719993175635151, b: 14426660573699297506, c: 13473573051761534608
a: 3187069427243939257, b: 1908529269862491641, c: 1785048071201098240
a: 1042937280848044973, b: 17219694921970474796, c: 9555413067002735128
a: 12090578853765254513, b: 13350401283433399453, c: 85421115655987612
a: 2744867563043731142, b: 3445072659974018663, c: 3626882328013223442
a: 12897112530290585595, b: 93458768284690503, c: 10690533111752497645
a: 7281262061946074695, b: 16375180228202666365, c: 7330629888910599748
a: 745701018689713071, b: 15234075865906312187, c: 6380180562100158431
a: 748931501695115932, b: 18161483118525565244, c: 3584622246116409305
a: 14127198336217317438, b: 4394717742614659369, c: 9108247009602332337
a: 5845411865783195596, b: 15898511470899737726, c: 11441838412668456707
a: 1638884148818748245, b: 17722415472603869391, c: 5565573901843899066
a: 13564462538939263123, b: 11012283429073102597, c: 11346409503774413435
a: 4077994794640795273, b: 9776115598220008272, c: 13291370626701597821
a: 520475306361202064, b: 7858376993768864877, c: 14052609383810381695
a: 7935048068370106909, b: 14266740854343527759, c: 18383095522108149917
a: 14209480817080631224, b: 17059089211499119895, c: 13776410784959265966
a: 5753146101237671052, b: 6402605671309128178, c: 6741101221540903027
a: 7685157398734292569, b: 13374914403501080465, c: 15444527823158519980
a: 9523967386623540077, b: 2036783530788693633, c: 9227366741135875934
a: 4480604680414828007, b: 9430563993024434250, c: 8675159816516854893
