a: 5136928831517574482, b: 17669316900889625928, c: 14036229170900808734
a: 9957020146991926793, b: 2518352755709868896, c: 15003830324792619826
a: 9844691531373052788, b: 12890139481812792856, c: 9407956073340155913
a: 11831346835653321736, b: 17290095501412392369, c: 3716621596010298123
a: 15173916044729120760, b: 7061960186712113896, c: 4496100742642918178
a: 6689011607683926999, b: 2124755634665330867, c: 11920313727242319289
a: 16849640653476222663, b: 3946892381119175036, c: 8683990380577578627
a: 3275224406378214908, b: 4799048608550894038, c: 4337458912362674353
a: 2434757817294501091, b: 11847497896903559075, c: 5701388010033187767
a: 16493250690106474379, b: 4842152597604643560, c: 5654629823783101331
a: 4395882159554354540, b: 14717876907888411142, c: 17517467440920570914
a: 12973240181439650955, b: 2381715627783925233, c: 10160958069611092874
a: 18091244805282100049, b: 9323721036068947238, c: 12775462187016286062
a: 8489876205641428908, b: 12156731434418258965, c: 3308034543964670835
a: 18118739678401355203, b: 12825056680570701094, c: 9917845108275563458
a: 16357358067025631762, b: 15071286793152019206, c: 138255778276100332
a: 2185226482573007335, b: 5222140961632764641, c: 18234871279689641469
a: 9785565566901379491, b: 9193028586569617633, c: 15441174898039810672
a: 8610144415324069326, b: 3153774469486063755, c: 12775247109763723619
a: 7491905680219948517, b: 10663005038222805350, c: 297527590555382685
a: 4688476659039773136, b: 8937053183525279247, c: 9547513501379012045
a: 10484549272555684732, b: 16685267438228604499, c: 13989732288520764643
a: 652278485455279093, b: 7514970729860032388, c: 14481435286593461977
a: 3305313711252019189, b: 7151110976141499319, c: 5542345357767529200
a: 15871526409696945021, b: 2509048806083335594, c: 6684040240516851264
a: 7138645967448443886, b: 9219836642809021212, c: 9396470030499691020
a: 8574362469580790962, b: 5042499752814307726, c: 6854096218630831522
a: 5709289953536214791, b: 8139101220106724233, c: 15425371670354236484
a: 8355532103027571991, b: 11224034647387930444, c: 16104023589465069498
a: 18377149517501322542, b: 11955949970170677175, c: 3262321111169613909
a: 18212303896450462824, b: 11608906508454042778, c: 7716696551707459260
a: 9471483321447407547, b: 10587802558495100349, c: 1783560045134491276
a: 17781762739189120554, b: 17200156154661805355, c: 11523107389958500794
a: 12264428653336522161, b: 2820219265462483785, c: 11876202030464224603
a: 16806562365135663908, b: 14680535172400215839, c: 11681670054268805505
a: 5631561274239282751, b: 14502581396713080463, c: 11108126807634416868
a: 7772938352956794953, b: 8962244500592397851, c: 9458534187597584685
a: 16123712622575252819, b: 8350628977066395878, c: 15050442360893362414
a: 13758116136954265419, b: 11812390501746686183, c: 16222451125376126517
a: 11451025593338245198, b: 8410630266891689307, c: 9932575936089890
a: 6510686210907763783, b: 9431575254003224867, c: 9053234073084892222
a: 11466133977000743379, b: 17584755834903226748, c: 7500355229931496274
a: 9271259386007706155, b: 109545685422352622, c: 8850019418913139861
a: 13030813674861147101, b: 9864110074467654778, c: 17749371895606141898
a: 3132143786959934867, b: 2081930905313908735, c: 5659739663638134068
a: 2966234675038141598, b: 1791745221344907375, c: 10380822571878235458
a: 5021943435519449131, b: 12594411327748443915, c: 17583604099079670927
a: 14110138461615287995, b: 10290268541535613326, c: 16904433890353883100
a: 4469914631418748752, b: 15726227499881849444, c: 2749491801635537439
a: 11696969735521065652, b: 9108873844806742487, c: 2345488077019769895
a: 17455896590916275425, b: 10479425216361375882, c: 10743615837131228325
a: 12625711638270855856, b: 16157924531626329540, c: 17354711197451421794
a: 2417669355473878783, b: 10154056401601520643, c: 11940865069608385905
a: 18090193187722822203, b: 695748526620635343, c: 9792621223032723477
a: 1357625227235555037, b: 939038328917774743, c: 6749232198196162284
a: 11289514843456035464, b: 6934204003078219801, c: 6975144983278671319
a: 198962276403845204, b: 12938627504084724300, c: 8103152959257385636
a: 4573273123264371343, b: 9211233137855325844, c: 8853612510059092850
