a: 11090390911943453515, b: 6715867902416760751, c: 17005553274103798628
a: 18305018665326917698, b: 3163820336512646877, c: 17105778837608565404
a: 3775366769939258289, b: 3033990418198404262, c: 13605050184784413783
a: 5641528657356856660, b: 13017642820909846384, c: 3841950134893656150
a: 11395456437197236663, b: 4568401467535979016, c: 18064598542348698548
a: 14418560002784092665, b: 1896934629395246705, c: 13845258409263889263
a: 6681208822006031897, b: 6963889147437702624, c: 15318642263173619168
a: 9787136620393836785, b: 14593643684064618676, c: 16472897215063986518
a: 13187358631643054545, b: 6167566273590888585, c: 17769327255997087508
a: 10823547556321261145, b: 1956254227556224008, c: 5614979717683725616
a: 15093997406269127410, b: 2061591240989821165, c: 694993556629364752
a: 1378984562248332210, b: 1053371605778766973, c: 4915973885263044018
a: 13682704867625319910, b: 17703796075912956578, c: 6543783240417192732
a: 12309888683726773667, b: 5747652409864658151, c: 16800408024860434525
a: 3296810866472268122, b: 973318272011536287, c: 942074019385857641
a: 6890250781686061751, b: 1241496040148481509, c: 3797881163288175227
a: 7423554898239134845, b: 2869881547555929125, c: 439051808716026970
a: 14814649925686113493, b: 17278560312971994015, c: 5022794378757537897
a: 3175860869196931288, b: 12166299736817934865, c: 15706095157207496566
a: 734580858651620009, b: 6088298567206801731, c: 4182605701589307953
a: 997702744439695199, b: 18126603831121443584, c: 12252302964543655196
a: 14933617172273556610, b: 13228787584189696900, c: 11403749125171251625
a: 17628924148938042297, b: 1248182383724534882, c: 17656095893824548676
a: 12278440774272696732, b: 3117362228657474585, c: 11178424689381465517
a: 1578922735596254047, b: 1075875429552978205, c: 1458706408490179147
a: 8743257472967288098, b: 8460898836312656821, c: 16378281683183354804
a: 3068103048865588837, b: 3637784966003887531, c: 4550291115610875997
a: 8736432705064375295, b: 16306567667799246692, c: 12133719205549007604
a: 308383634911840700, b: 17956388232175238926, c: 5005607507318049503
a: 14417679747407030631, b: 3581675013893988134, c: 9644476591893301280
a: 1759337812246874709, b: 1031362235281666808, c: 2900160411367938426
a: 5062979471141458332, b: 9735670419594327026, c: 3357344353288676399
a: 2024326501852671826, b: 18317283686200328084, c: 4061547274489002055
a: 395684579489471798, b: 2898854479784115141, c: 1330494704476218587
a: 8250667464857563930, b: 11187712415953648059, c: 17321738028087571856
a: 9231187387239074229, b: 8157719238368221784, c: 15901694348198334425
a: 18284934672876477116, b: 14356956044974948759, c: 11415208137056596619
a: 17261227334187394799, b: 1091676848334359164, c: 808816460951247029
a: 17543866672307250805, b: 1628659856666403015, c: 12486429704375045708
a: 12127555384216097394, b: 11905443873754957898, c: 3894304947872493184
a: 404161634311840306, b: 5296930429096043429, c: 10498148400734448048
a: 1893400732505483577, b: 1579462209614238584, c: 3099893279336941275
a: 16000621910268530121, b: 1643155599793356967, c: 14762094021161081557
a: 10508924893015244171, b: 615656663067695550, c: 3070218007616375586
a: 11567488230525972994, b: 9949273260341461076, c: 17600794898255223612
a: 12135788705672405154, b: 2489906584321171551, c: 9822511408110444781
a: 10308051632601945928, b: 14122436375393687363, c: 15481402072861071661
a: 12762031969720829965, b: 9479908494819545747, c: 12837508896237630498
a: 3869554910413331741, b: 5043505182251325422, c: 13040130709750646952
a: 14150806936187651934, b: 8095528767203206210, c: 4735682230704482895
a: 9959734640079359434, b: 11406451750486311046, c: 15895684425355980505
a: 2470427793700297265, b: 10029870083136594419, c: 14487697507022551769
a: 17950226461533555952, b: 16863636616124308850, c: 4291140256282010007
a: 919570732333025137, b: 10396045666810671698, c: 10621744074859059104
a: 11572963589613620772, b: 257005552521187739, c: 11166703458862689671
a: 1473615709208724365, b: 3767481947967688469, c: 8687205843187761249
a: 5094343872834038009, b: 8976485611604549296, c: 8873636495093419836
a: 600153433660337337, b: 10191894144678034105, c: 8064169511530353217
a: 11148639410610053097, b: 1890083019088625671, c: 8696677111750357826
a: 4809886790257044792, b: 15069574474729193657, c: 10721698452938775156
a: 6340652783500846131, b: 7273803701693472757, c: 1559269541947059055
a: 10050897917049405926, b: 12497174913205235568, c: 15377462688492197738
a: 10055127477212614303, b: 9374523090939173089, c: 6615953327651583477
a: 15770926130143679863, b: 17478652733629687163, c: 18028161699702640252
a: 14684093018931441550, b: 15431075460460073721, c: 1717565224716891081
a: 16967423516509001528, b: 14173449416134321066, c: 15917486669638062453
a: 16832404447539849258, b: 2340387917458876367, c: 15420057166978253407
a: 1142606065416565560, b: 9934617408733994286, c: 7895754381976762370
a: 10489134043794132690, b: 3164576358833046362, c: 16917354227257988392
a: 4791847901227880122, b: 6853672704767864549, c: 14200007419878320694
a: 10159221171133111904, b: 14210707928703645447, c: 3852089960938176
a: 4578661270423979210, b: 11364803530908450880, c: 5162694976854251647
a: 7369995151285011972, b: 10213197184181787312, c: 13515072124064869845
a: 11816064923498484067, b: 1387892405807399225, c: 17720989747361020399
a: 2932884566532728220, b: 2562923424396449461, c: 13432888653923720126
a: 6785371166412668082, b: 17516817139192069114, c: 2838719987747190354
a: 4119368644602593010, b: 2805397352377497966, c: 7950378665349287468
a: 15783798006743107603, b: 855058003065662713, c: 12050760803671361574
a: 5531398342741882924, b: 10418334097452741700, c: 15698654982719485370
a: 6835668960732076083, b: 176959426247627570, c: 13041605742812341269
a: 12495825054666388502, b: 18227380896183930913, c: 5530132117393033155
a: 1267132951524780502, b: 6320841152244009444, c: 14252175881596107691
a: 5530633741248352605, b: 14553728630728823640, c: 1001142768790596700
a: 219095512747515447, b: 1477066493642264066, c: 8148031681373748352
a: 8584358391621838693, b: 12022105479103626055, c: 15750975838344637673
a: 11866361424863934704, b: 8180569622242649533, c: 6729071412831325016
a: 11236675125850500183, b: 13567145061624615940, c: 10483359337016687178
a: 2220348888750610772, b: 15058325142319841271, c: 2285811668233258351
a: 10751197424018552573, b: 1682774903511486460, c: 15225770017987408928
a: 5518405228953999280, b: 8158226007287952421, c: 18149495138504751133
a: 15950501358457429762, b: 11870705938133217754, c: 3673135151370387674
a: 13533693603311036753, b: 14430474745023763083, c: 8843839199046444353
a: 6772526662124852315, b: 15765356523699299992, c: 10219396071803267004
a: 7485779168595903960, b: 3426013842059427696, c: 7390463417679219744
a: 6079019076516011347, b: 15203852993564611765, c: 2430274645538382608
a: 17068042412107761281, b: 2469663293997092337, c: 17112608230320967969
a: 7872032534586206813, b: 366419293176821953, c: 1597105390339661866
a: 498267843539427411, b: 4882731984524966938, c: 18267731696873500077
a: 2973950722666089114, b: 2879758489174095037, c: 10046105956337966548
a: 771722508087208039, b: 3233929094189257917, c: 8190638432797694790
a: 18262595678704699582, b: 8529472660184643797, c: 17747804974805758300
a: 2716570489377659308, b: 10820914850586023110, c: 17454370608197778730
a: 9660053470340484441, b: 11023877380405838883, c: 14788498894721286481
