a: 7602336480367111938, b: 15857479722195332762, c: 1503136101620659131
a: 3316979255567332625, b: 15161805123175902602, c: 3358635575190344200
a: 8718268326861292904, b: 11111385226702399923, c: 11648917205418223381
a: 11726428919505491127, b: 3493980017826552777, c: 10412121937541481849
a: 15031884170770569921, b: 6904698852854858697, c: 10932727936409973294
a: 2103594176024713566, b: 11460217039248053329, c: 10998119002221007133
a: 8563884974226018989, b: 17618886774167889091, c: 8935733883916658681
a: 17783518064121222172, b: 16015992815606500758, c: 13451096114509360925
a: 4975483268678709513, b: 16789694864370592247, c: 1378125894531997122
a: 2523262141382323892, b: 7140929561075548039, c: 4025597950732961386
a: 14447061375031627800, b: 15371007675837413277, c: 7186876785990612369
a: 5178335868204572978, b: 18330073310079145854, c: 5598021264216861596
a: 17620716490024515056, b: 10593524144146535385, c: 9065570355262488100
a: 16111895330759539314, b: 18192500777331885048, c: 4688451830607354573
a: 12685319089981888282, b: 9867429048240678068, c: 11204700229734264133
a: 130751095195851796, b: 18065934221636032591, c: 11010434239408253276
a: 15694026134036086672, b: 4259647307788282544, c: 7520854703691240006
a: 9540102268040673946, b: 8000981277227009790, c: 6858876678405765913
a: 17815791360886736035, b: 7144525147234211651, c: 90155984542265842
a: 10715669004148010386, b: 13314313258631290242, c: 9540524528216236527
a: 17655848114493525661, b: 5065337615458381931, c: 5650482286391934877
a: 3958189009069506780, b: 3224067654687346709, c: 17163223361500857674
a: 16240739244470250541, b: 4694448785264027302, c: 11806696019547143312
a: 12414676682139348772, b: 864847280995229039, c: 2279625276065474108
a: 3489461951338435317, b: 7462161025026364495, c: 4550261672635649940
a: 3463101978527743601, b: 17985641925427872240, c: 7894152699640496591
a: 8373067409873325249, b: 15647473583708871164, c: 5992347780507403939
a: 8241545297068093964, b: 5348902031877957969, c: 5457154020399713774
a: 13720606207782103338, b: 2054221994339820679, c: 7449764993804836986
a: 3442173062837284320, b: 15933693163098579689, c: 641596310609351486
a: 11839885433062777176, b: 6315525484973861536, c: 15902608280036430272
a: 3039422084505389274, b: 12867031336324910421, c: 8574772806043161927
a: 14410616110142646633, b: 1583253454717643449, c: 1625268465625298794
a: 16060552597914192440, b: 6126260358142270333, c: 1565408230611313009
a: 7249722564374912855, b: 2633711484187991845, c: 17369386230246453030
a: 8900988813038506149, b: 15209580986454346462, c: 2438672281809816267
a: 326760076817704648, b: 14637450440473066677, c: 18121522601400166675
a: 13164124062255967144, b: 5418186382667774854, c: 12336704931824602509
a: 10485465764407532846, b: 1827904702910981416, c: 16797721176920169126
a: 9464872452816492867, b: 14767118522299466090, c: 15638605049819385547
a: 8006156293509406942, b: 5146135611813616799, c: 2009907687009439372
a: 12393849101986021888, b: 10969018737366766027, c: 3915143125473026141
a: 9321565368822296418, b: 3669410350730734290, c: 17968670390539086454
a: 15518403640170335714, b: 8673722353138265980, c: 4908408318389843338
a: 9316949679790804771, b: 13626670443276871282, c: 6749739384008288743
a: 9833581749889626644, b: 6676839561423908070, c: 10267008767984146263
a: 7068336067106435539, b: 2527255261471158867, c: 6616861354559559821
a: 1373206777621919335, b: 16981672165111853189, c: 5827438237110936996
a: 1877952848307291064, b: 17256443187473017913, c: 9235110836863360153
a: 1139548239727341993, b: 2379015832378127862, c: 9585852584838549349
a: 18272623131294209352, b: 14566454739355456861, c: 6520389475598980666
a: 9021599249787088029, b: 5070448818259975167, c: 18077864230627255315
a: 13095229950095279133, b: 10835727308015665289, c: 12202603201674916648
a: 5004866358713079421, b: 3524201876950923231, c: 5255477582147224262
a: 17907442794191827577, b: 10040414221858938003, c: 14895966095500393307
a: 5212415021729969134, b: 889863484987421199, c: 13335592884677939947
a: 7536913330822859945, b: 5100882330304485451, c: 6472831038074578179
a: 9934141380076711986, b: 17309842717508764564, c: 46529697866627764
a: 15140430788642609054, b: 14098507669482487649, c: 3646131851107089869
a: 12153857355362528577, b: 18265556026181137158, c: 14001336453324648668
a: 18415038694415819526, b: 17895494237386210191, c: 13245185425868977878
a: 4432889004203261299, b: 12426847928833954019, c: 11424586978521338945
a: 16013407431589911857, b: 13442111120394950047, c: 6882074288677730663
a: 16852933477048635552, b: 5434973731160874892, c: 17306924164534377686
a: 6014525276362665421, b: 13401113498670440778, c: 6943776012078480516
a: 11596585409384946141, b: 11271118673065118587, c: 10908009315522199522
a: 9142182683647269817, b: 8925250300641712560, c: 15556618379915984940
a: 15954769097240595666, b: 210309493122571606, c: 11714661858790905871
a: 18137709114327231872, b: 17088441136569021908, c: 11753883203013190882
a: 16110833534500164743, b: 5680590256420075537, c: 18157364228301124211
a: 12630304483520148488, b: 3441873377294361917, c: 9541895461812248566
a: 1292763212197003138, b: 7572575509473193529, c: 10426505719576704962
a: 7798471216949462259, b: 3229391940812902163, c: 15807094792569823953
a: 9541398256346464091, b: 1034789758824674574, c: 17853492619452984625
a: 4790879619652624297, b: 4243959267107061639, c: 13734009828954310463
a: 14441684338188209431, b: 16670932878347483950, c: 17310091612835962618
a: 9985281754632788372, b: 11379478167219407552, c: 8707413137114799916
a: 1801008538285796975, b: 15058396336316770897, c: 16049143429392670821
a: 7174812871738782916, b: 1613249504190123483, c: 15217891443042874456
a: 12606304013137377408, b: 4701647754954686930, c: 16123789749087671685
a: 15076379427024771813, b: 3243961045109790384, c: 3058091781066454147
a: 4672555638495571350, b: 4959003491593440045, c: 5890653989242192793
a: 2241585818149391982, b: 11036991351066555175, c: 5880660094532856988
a: 15781724798909378433, b: 8494923548324947417, c: 9080244234672779847
a: 11711082000776053851, b: 16487986526643601825, c: 8687402459512722795
a: 1689327892469365053, b: 13961518449170212855, c: 9750565045688684841
a: 14694928566212536884, b: 9764489784370097131, c: 8160697141846980409
a: 4883251533332052907, b: 2733058918094056535, c: 152810965857987696
a: 1686854903331838350, b: 17418460243568845561, c: 11933067763246968726
a: 913170654476236580, b: 17810994267064012165, c: 16098726761372058237
a: 9140493360334105533, b: 3344905839367096832, c: 15578854667667217986
a: 17325364665169646190, b: 15790605876718648331, c: 4347769159946234121
a: 5865835826430541595, b: 15882204695359009175, c: 7524780285985547170
a: 4547206687012021529, b: 12841565405238127038, c: 13622430742620282731
a: 14768191564877111546, b: 5759276896938024319, c: 15880258124494966496
a: 4021175342169489422, b: 9179505451249468678, c: 5296731363387757928
a: 7572764770925343686, b: 11796625940765280282, c: 15900604753798565637
a: 9579137034598894185, b: 5284182701921074732, c: 10394532875234851460
a: 6806208818465156488, b: 713906723339681529, c: 1798195352159364248
a: 15299525785817313417, b: 10715193291390082845, c: 4217978809755842873
a: 3868977527658228315, b: 7719487009724270736, c: 4734640903291894869
a: 10839144469890796625, b: 3052068504739380975, c: 15442011034673612165
a: 13965921885400529668, b: 9468449028258235326, c: 6282820620877525971
a: 10413173771752744842, b: 9703841655209563559, c: 12563215583388633804
a: 12015941570774181540, b: 9579370994378308686, c: 5550096214470817642
a: 8154648821313071724, b: 13863018683570150386, c: 6816692770099925665
a: 5171132823241138035, b: 2671623578414609096, c: 7042626639437089699
a: 7935245831352032978, b: 14556984225394894, c: 2302048593526752255
a: 9088604940479484905, b: 8453719764284308335, c: 10782210357252831342
a: 10596550518195991601, b: 17924062600287511399, c: 9098344592372991596
a: 7901788935465179428, b: 3785190909738262855, c: 11218524094135079179
a: 8932433994499683063, b: 11974152883091702587, c: 9701377203034197375
a: 10302321398270446874, b: 14806735484391322616, c: 10098734125818403620
a: 4592645761546124148, b: 8366534826359647791, c: 17340511324714429704
a: 14903032514587939178, b: 5761406083449843816, c: 9893660723049383108
a: 4383350243589539640, b: 15031794642945944589, c: 10435399545614191618
a: 9811437570145263739, b: 5724824879903847987, c: 6749856942889616098
a: 7711675409009322774, b: 16563945411741759999, c: 1010557250083873343
a: 7792920236054465917, b: 4282539550355324677, c: 13905651701241085126
a: 15226724860293142178, b: 15484841841351908539, c: 3825382723192611294
a: 17511574050145088017, b: 3601689790239963689, c: 4763982555999436550
a: 3175582892634812101, b: 16719781484680718496, c: 17284144696079709726
a: 15190246267667377067, b: 10554151378498907643, c: 15532695779774868066
a: 16259917643108921282, b: 4631134195005613710, c: 5259221674538267738
a: 12615507168005032100, b: 4607692383466225580, c: 13395260495540432893
a: 11103148298530261380, b: 517532648077698854, c: 3793561540519672961
a: 17923573120630180962, b: 8122961302121291898, c: 43021282472330184
a: 1813515704815402959, b: 10578392556809109411, c: 3950428611067225498
a: 14665615085611640706, b: 16264404031949993359, c: 2071655295908609861
a: 14229575980677916763, b: 130998589632746177, c: 11446680618498373418
a: 2537242855455448610, b: 9980394698527469808, c: 16129017527908302533
a: 13849429558254242650, b: 12715881131488896325, c: 8074765355824807274
a: 10676201092049074912, b: 13747074420848226429, c: 11085619169194093463
a: 9643851200467311708, b: 14330937651028893549, c: 13929975559394274167
a: 18009255666240368513, b: 17516310804558078948, c: 11273994894991821309
a: 14931935006181134786, b: 3399910668652076309, c: 3353705005947141797
a: 18088265184638880611, b: 2883710117916130952, c: 14970074720614967508
a: 14381950747686150080, b: 8471754258119440454, c: 13233571402751711567
a: 10036697215048509019, b: 13517597950668112531, c: 3797801036241842807
a: 9377576053544685718, b: 17907169389355954090, c: 8252111443618377373
a: 3621023057536584238, b: 15932304716431684828, c: 6899618650282865456
a: 12746071718916639735, b: 6798470011873521796, c: 5159620831931050012
a: 10994157579613364551, b: 9762557871439927724, c: 120010114853127912
a: 17599094216860889306, b: 12481694834404300037, c: 5041374152219621532
a: 700614081585178793, b: 7303978158054239397, c: 10188412470539458087
a: 10349482662666250842, b: 16473521356342978810, c: 5622899731104571885
a: 6852206218602523911, b: 17070235250630677399, c: 8426256502238657410
a: 2995317757082095805, b: 17366114589263508371, c: 4418150131399288818
a: 1987292555135549516, b: 5950716158792595540, c: 12321839590027659411
a: 3895837139719352112, b: 11748529206805696729, c: 2605181577841609721
a: 16864316593004831552, b: 9361663593164696591, c: 4450934068694275673
a: 5801681537708431066, b: 8300309576120905766, c: 5573450600579268705
a: 14349754623512177719, b: 13051605074937100542, c: 6052046745294458712
a: 9596949234611949436, b: 11770732835083163955, c: 571982459820975262
a: 15865539900249585315, b: 12853101196609110496, c: 15783892382477424126
a: 8853396823266814969, b: 7067088303952245346, c: 9739099028446661337
a: 109536893433716398, b: 921724063667788769, c: 15686562880807612031
a: 14288170234614003147, b: 11760966744105168478, c: 14924070368153917045
a: 16049067744955922, b: 13728052455954613125, c: 1863540566211969072
a: 9722380428409870096, b: 4395709062169517635, c: 6536622931858346746
a: 10939304542437493262, b: 16750614125632783914, c: 1106577053096363285
a: 17576145853877163529, b: 10156869921935051536, c: 11339123606763208120
a: 3403842071676292476, b: 7347944163376865564, c: 8064911229698451712
a: 592659070322385609, b: 15020682490650564399, c: 7139434129390250008
a: 1787952120646660875, b: 3211877590671873992, c: 15187861413345866768
a: 11773923084709057501, b: 7994990183356892953, c: 511451834415001332
a: 139835016451675669, b: 1697587188695899502, c: 15819326288027620269
a: 4537246825001193317, b: 15237406677464014873, c: 7304117374091747439
a: 4066269991589966931, b: 13606783395026493188, c: 1567572838292986301
a: 4098466233785356748, b: 11000253957169481133, c: 15705245533895899805
a: 1584111924457712997, b: 10424621794124025289, c: 16215054750744558788
a: 12939857808935739020, b: 8133167165665417019, c: 5686110041457814569
a: 18388129529384776313, b: 3063462198904990411, c: 14031513570942247110
a: 5745031440390140780, b: 1841502403420226667, c: 12242853318369855640
a: 10459805555214660198, b: 5057015719993295602, c: 16145563430379771493
a: 10886505285379012971, b: 2468947257233090793, c: 7422713905141600686
a: 8587964014265679753, b: 7896909706513386618, c: 16109115689015724236
a: 2153808948401872868, b: 6282050195738136039, c: 6598776928570328331
a: 13385963657572118924, b: 14630479176104892913, c: 1064625990547085002
a: 3204740912584781626, b: 12507333519062396487, c: 16685889642939311517
a: 2836137864900768940, b: 11705988126764327013, c: 17445994857926097710
a: 9412248505064543465, b: 6856378540090559188, c: 15550568145346512579
a: 1184112518447568026, b: 2552784370528728727, c: 1417327157934472147
a: 8242958360958809267, b: 8184575740703106059, c: 5747823328810524432
a: 2919527687619361458, b: 18313341087719290652, c: 11646628667521518860
a: 5710919250736812807, b: 1445802593958162212, c: 7841378063492472071
a: 2494781231438878811, b: 16147969891048800699, c: 16064063984359176407
a: 6186429770132893419, b: 13976235981371434360, c: 13977276870239138769
a: 11510892474895423103, b: 11634019053776278413, c: 12108917642666757078
a: 15409360152204033321, b: 16114707049896961442, c: 4842153285721167603
a: 18127997415897833855, b: 900327237171070963, c: 5075810668887968384
a: 646396263800623018, b: 1000568278212958479, c: 5731503449863867444
a: 11543960679358664367, b: 2222850696724522662, c: 5207374309161791285
a: 3612593081377328251, b: 861044005777639081, c: 15577950459667233132
a: 6952956434972278670, b: 8300694902211582031, c: 12599016485635121594
a: 7606023763942472124, b: 11179892462133301527, c: 5758439211298027147
a: 10043587682734533252, b: 4866040289146314784, c: 18408815965074667813
a: 2913485980206516200, b: 13844762429845246417, c: 14222348755267743211
a: 5323638390526655841, b: 15532055532476170163, c: 18057785166105699561
a: 4658459911226419700, b: 14041987338205807285, c: 16562341976779502269
a: 5350290886390634697, b: 8999964880022049990, c: 311142031660942318
a: 1419840383714174117, b: 4165310260817646200, c: 14559819450755167804
a: 361005988230575774, b: 2733578199183012433, c: 7433731331559286416
a: 10660330279613495425, b: 4788385271989386849, c: 16930193091170311860
a: 4519118537029677631, b: 5210855630746081394, c: 7697232126984485399
a: 8727803483582711941, b: 5502480928082942009, c: 1111980047211330197
a: 2570429342031301643, b: 16346003178588897614, c: 13795386790702493001
a: 8326792640633610724, b: 6918571460016174085, c: 1440290977225812534
a: 14663782536520751032, b: 13569465151396165210, c: 10984153738034458300
a: 1538135638940151984, b: 204914102795332766, c: 8875968208235732300
a: 6396356608235271004, b: 17682697921546751622, c: 6747297336520394488
a: 15640649434677777014, b: 13766335993083967966, c: 10509694711724269627
a: 8802129827725578858, b: 10038040860951259824, c: 8324404269340883055
a: 5210954802517046928, b: 1376314026357025468, c: 11256666738959317841
a: 2398061274873660303, b: 5704928730454407393, c: 2603855067047578292
a: 11528818171879277422, b: 5505840699863806692, c: 1877794363106474449
