a: 1285419092157745198, b: 14340793931982912943, c: 15888398747240171087
a: 10529048632087058332, b: 5756419978450691151, c: 16054453403491235467
a: 13944870399205859590, b: 9146396923918240411, c: 11393895707217650587
a: 3585788193568901547, b: 15093769512502769907, c: 8813703875633865185
a: 12795515227462215674, b: 18246387566294060097, c: 15777772027538112970
a: 2386847897826338512, b: 17380929635896170371, c: 5017868420947817909
a: 13644524785887644601, b: 6127844805121920744, c: 172967209720452971
a: 7966470549074335646, b: 11645324327152145959, c: 7487440146851805810
a: 3658525151204758440, b: 9390912803896861741, c: 1604385790205911005
a: 2644827246930755758, b: 8828684928746621394, c: 7325335609663502562
a: 1811713381203588553, b: 7528714546276253458, c: 4600548941049612673
a: 12281022781856526064, b: 11896737481094365241, c: 1746219108033743866
a: 5547132691114551297, b: 963853065552732290, c: 5726649920334466736
a: 16078893430198927524, b: 11040406321660777438, c: 4295866693616025937
a: 13254325147217723411, b: 12207388578320127066, c: 16864375949725506166
a: 1501418133651605311, b: 11381584500381599144, c: 7720340112517480127
a: 2317154142283693915, b: 7937356712375690502, c: 3876436088020412507
a: 4894772862096518770, b: 11652540252684581725, c: 15541796740645166605
a: 494761518102077124, b: 1936823784804802859, c: 8969806350774556734
a: 1654561196313680613, b: 8729631187407143405, c: 3044938874332591985
a: 15260802079281104209, b: 1899864832808473632, c: 10000461390851914313
a: 139811143883560221, b: 12259508259015744398, c: 14939969241958729358
a: 17129181801796774581, b: 12748349043949040107, c: 12636461452649059652
a: 5266643902467652878, b: 12244019278643639723, c: 17427983487883032316
a: 8770778232000550344, b: 10378199830986674693, c: 11676702830340732155
a: 11937600233013574881, b: 6128507450123709835, c: 17849716896711027801
a: 18353162783305720775, b: 6936657804961607196, c: 15810273231873529395
a: 2142058393474108268, b: 16496434913865142126, c: 3308986729042103398
a: 1432186279472969674, b: 8533640215194793552, c: 11444770863704351016
a: 8788380054214367600, b: 5224337745188998360, c: 14801342751768442085
a: 13744069711819382103, b: 9985738396753502910, c: 11358354867041441014
a: 15307906994564313288, b: 3657656758315614709, c: 1840452737116902130
a: 13025190930468753969, b: 14225680734002614995, c: 14966552007031794379
a: 12289371641334821963, b: 1498434234792714480, c: 11839537617811716090
a: 18315655820860239937, b: 9732057446827256173, c: 15933473004870727177
a: 11476164954709999295, b: 371726339272322862, c: 11501992668552948573
a: 12844090834461606635, b: 15534438934354430331, c: 13215127691676920529
a: 14400882040808988096, b: 17486445574177118051, c: 4775057620346616140
a: 6029727455017051608, b: 8121022324927853692, c: 1963894239333682406
a: 13350982273619342816, b: 15163303271749270506, c: 2538634074381460214
a: 13053867594524304164, b: 2753467038021944907, c: 13306451534047044700
a: 5044666124595960799, b: 983356318085573151, c: 12112199933541248382
a: 12930492820688668566, b: 16868496207162785931, c: 12341406421850869092
a: 2344675113557487163, b: 7399239314538340959, c: 16895850000676023981
a: 2414693030333469591, b: 956792699251948685, c: 5104794707191136997
a: 11816258919355547636, b: 15901315685476929876, c: 15598762011652149132
a: 3083951797735263939, b: 12638773623862239814, c: 14288497380553404957
a: 10519542417013512183, b: 13688235852210726848, c: 9496618252458895609
a: 5929752250407545961, b: 17520980438536573116, c: 15426625543603696858
a: 10801905396953853031, b: 1161735416016312965, c: 6435439974105504531
a: 7491676927672811788, b: 14013270082850515644, c: 2555450623693835593
a: 3680989921812268131, b: 12215792546499207876, c: 2326886082682458248
a: 16567601337421846453, b: 13527849046792780716, c: 857434124011665045
a: 5295488223116242812, b: 6467376503506078372, c: 5941739366029896856
a: 7952050726687915967, b: 4007812178242037103, c: 9359168426710714478
a: 11179721880131677774, b: 7708843787431623585, c: 16042625860256027345
a: 16879923891428766248, b: 513679813153516829, c: 11735891701167919971
a: 14941690639570719014, b: 11765571111804416445, c: 3270061521695324771
a: 15533357751717773398, b: 16649263226757102704, c: 2799724152478192305
a: 7027854133853713745, b: 1608346111302978401, c: 2244381418612583386
a: 9826693020915858025, b: 10441641738339935000, c: 4324066069339484994
a: 8602018203067218139, b: 9182317159917533795, c: 1478192171957125461
a: 9553809563188945736, b: 13294133518714464182, c: 7764719578195584892
a: 7426847302708819471, b: 15955462551053469341, c: 15167301829815676172
a: 2606366047343762192, b: 3574200849868949933, c: 10509409798192402653
a: 4518554393111716649, b: 10054580889562474021, c: 13887737228559523465
a: 23974712063409322, b: 1120209225364014908, c: 203761367550866574
a: 18425839381633503598, b: 13419391930224194201, c: 2513005527970775021
a: 9879716531258867300, b: 8218405276877097196, c: 13380832538252494953
a: 858416231878921904, b: 678715900793419849, c: 12858505445908337887
a: 8258550536555070932, b: 460302019062751457, c: 4671757445792467658
a: 17170025634629156136, b: 14172444652532346656, c: 454626339255398626
a: 7928894987983911010, b: 479251662545960855, c: 14090054104051560485
a: 1476139760132359889, b: 6213182098488378552, c: 14173396273179575816
a: 14038540863551047708, b: 18281072837333062227, c: 11288374902998277568
a: 7809369025530680663, b: 3096964605928279388, c: 2700034747102540763
a: 2110154811463479256, b: 1014413936396427690, c: 7946193750999292486
a: 4247545198256062192, b: 10385674390062314120, c: 6600271492689246930
a: 2750059970771679684, b: 15782334182830847684, c: 6291935489876491882
a: 17823379740837559300, b: 9513796780046984270, c: 16477286458506914202
a: 11196259317802111972, b: 4087667086659814976, c: 3249547049790896703
a: 5896910962362738397, b: 15977345948000609998, c: 8658160788682457541
