a: 7899718447358996735, b: 8753719185449231674, c: 15774773898045709753
a: 8726289011695792878, b: 5540088601084024047, c: 2619505420722400289
a: 8133474319497493884, b: 5013021994754579194, c: 13734826396634586964
a: 6026480960032964190, b: 293401992302990520, c: 6124096034260009040
a: 12328281861608199219, b: 10938621369495906017, c: 17001965388272692847
a: 10502253852352189033, b: 6300954252295310659, c: 13979192210157085793
a: 8615339633337883420, b: 14563148530728237239, c: 14177954073212864909
a: 2688374542052152669, b: 18080603022932395075, c: 14659867481411600628
a: 6823118749661772790, b: 5209169852743763249, c: 2737435470098682999
a: 16073624971352185111, b: 4012260402775940384, c: 14001716408986448934
a: 6943308954918302352, b: 16803618062554474570, c: 11245897920994383567
a: 3005652010330287384, b: 754504818998924725, c: 1582225884469687241
a: 880542567061831684, b: 17870258728714146930, c: 9167241412588009723
a: 13742002902101255931, b: 11644144585317356309, c: 18323227628685108135
a: 6706132305155469607, b: 9430592264303674518, c: 452251624502750246
a: 4867573863770595648, b: 16746592681774389305, c: 14458332642624398624
a: 14380668750230065216, b: 1777910191528941674, c: 9920148015132636980
a: 15894990698818878575, b: 6407215975410329330, c: 6129905379054563759
a: 3513880290269732966, b: 9709830972036811372, c: 4154454493169029984
a: 10611501798374385600, b: 12888555821835728323, c: 5811332302746739470
a: 14705284943541841932, b: 9728102197227362556, c: 10076025581947846913
a: 5063282706277106418, b: 11880250465785768773, c: 17487593546730876674
a: 1801038163264563317, b: 6526204494295326871, c: 12638816724439715097
a: 6105078914476915419, b: 8759681858946568018, c: 17344433898139721136
a: 4138017898200816735, b: 5878334427200859562, c: 2617715700010561554
a: 14895719214645045043, b: 7797114901587942249, c: 13011130649621995247
a: 13576855131527832543, b: 1239024846723032024, c: 9892029675197389151
a: 10289772775377302364, b: 9702285512027988821, c: 74284361907465193
a: 8673421867802946176, b: 3307738297072491288, c: 3346944511337023395
a: 3811373973049121739, b: 13639522543117639847, c: 6680044231451968243
a: 806161696244742884, b: 903284052187068413, c: 9995449175115511504
a: 9902349491352443734, b: 13131508499863794442, c: 18002295866770552252
a: 15948070566883372426, b: 6271763305453409471, c: 16495798477297936094
a: 8992920338092764552, b: 2406006564130107496, c: 3329956326709229301
a: 12880684882845312767, b: 6906252177186260076, c: 982278690382804874
a: 11734035112698087491, b: 3129380014855567701, c: 17857112327727576939
a: 17147103051077621902, b: 9890389321662634894, c: 7745759355728380735
a: 11816011424350852901, b: 14596014875367035622, c: 14415996528087560100
a: 11935458124051405755, b: 11593853920972085637, c: 7749970787483542319
a: 17685322844620350431, b: 9956611875943144841, c: 8009271311125070433
a: 8358310723139253943, b: 10559107190720273872, c: 8524565836024437916
a: 3111283375355746015, b: 18384411748320904885, c: 7591221010488319873
a: 3906071915080615045, b: 13164612061184201490, c: 15088051720975688723
a: 14925837742775091203, b: 451472289345287249, c: 15395732622062824662
a: 9552507172182135270, b: 10353680464070757930, c: 15259241099109590476
a: 4498228244064382832, b: 463078174640274898, c: 10786353422490914968
a: 10720534265514429206, b: 12549079798479455616, c: 12230345878983416617
a: 4392120520890745566, b: 13078856754812129008, c: 7834634185509123170
a: 13799324840664350000, b: 4204214926483530587, c: 17465787448725895730
a: 14900267211611685355, b: 17069666394899452733, c: 4663039989958096147
a: 12750520059100656048, b: 16493373498824407409, c: 7480985590577079568
a: 16033648947597991299, b: 11625998558419649455, c: 3813894271170736330
a: 6221397923142955561, b: 2762402552856574911, c: 15658013054935874513
a: 15094302020691582938, b: 421936738185048805, c: 13104455912286957143
a: 9353356617732376479, b: 10834040928242341024, c: 527369936162582504
a: 12625020682629412886, b: 12666660418857102894, c: 4578989632981562864
a: 15356053969227437305, b: 6593891028752300879, c: 4340350098935487730
a: 5830693893712871772, b: 2414241165041235827, c: 16250431555814630450
a: 15727192657139422749, b: 11187704763948011613, c: 8800178724166110603
a: 3685070190676377715, b: 7963005412071580952, c: 3825952496962631698
a: 14126489193775862822, b: 6188226108041949692, c: 10777200159770525376
a: 13735016210132802501, b: 14004406804593834504, c: 14945122981916855880
